iter	Passed	Remaining
0	0	751
1	1	526
2	1	457
3	1	406
4	1	382
5	2	362
6	2	353
7	2	348
8	3	341
9	3	334
10	3	330
11	3	325
12	4	319
13	4	314
14	4	310
15	4	306
16	5	302
17	5	302
18	5	300
19	6	297
20	6	295
21	6	294
22	6	291
23	7	290
24	7	291
25	7	291
26	8	288
27	8	286
28	8	284
29	8	287
30	9	288
31	9	288
32	10	293
33	10	293
34	10	291
35	11	307
36	11	307
37	12	309
38	12	308
39	12	308
40	13	308
41	13	307
42	13	307
43	14	305
44	14	304
45	14	303
46	15	304
47	15	303
48	15	302
49	15	302
50	16	301
51	16	301
52	16	301
53	17	299
54	17	300
55	17	298
56	18	298
57	18	297
58	18	295
59	18	294
60	19	293
61	19	292
62	19	292
63	19	291
64	20	290
65	20	290
66	20	290
67	21	290
68	21	289
69	21	288
70	22	288
71	22	288
72	22	286
73	22	285
74	23	285
75	23	285
76	23	285
77	24	285
78	24	285
79	24	284
80	25	285
81	25	284
82	25	281
83	25	281
84	26	281
85	26	280
86	26	280
87	26	279
88	27	278
89	27	278
90	27	277
91	28	277
92	28	276
93	28	276
94	28	275
95	29	274
96	29	273
97	29	273
98	29	272
99	30	272
100	30	272
101	30	272
102	31	273
103	31	273
104	32	277
105	32	277
106	33	276
107	33	275
108	33	275
109	33	274
110	34	274
111	34	273
112	34	272
113	35	272
114	35	271
115	35	271
116	35	270
117	36	270
118	36	270
119	36	270
120	37	269
121	37	268
122	37	268
123	37	268
124	38	267
125	38	267
126	38	265
127	38	265
128	39	265
129	39	264
130	39	263
131	40	263
132	40	263
133	40	262
134	40	262
135	41	261
136	41	261
137	41	260
138	41	259
139	42	259
140	42	258
141	42	257
142	42	256
143	43	256
144	43	255
145	43	255
146	43	254
147	44	253
148	44	253
149	44	253
150	45	253
151	45	252
152	45	252
153	45	251
154	46	251
155	46	250
156	46	250
157	46	249
158	47	249
159	47	248
160	47	247
161	47	246
162	47	246
163	48	246
164	48	245
165	48	245
166	49	245
167	49	245
168	49	244
169	50	244
170	50	244
171	50	243
172	50	243
173	51	243
174	51	242
175	51	242
176	52	242
177	52	242
178	52	241
179	53	241
180	53	241
181	53	241
182	53	240
183	54	240
184	54	239
185	54	239
186	54	238
187	55	238
188	55	238
189	55	238
190	56	238
191	56	238
192	56	238
193	57	237
194	57	237
195	57	237
196	58	237
197	58	237
198	58	237
199	59	236
200	59	236
201	59	236
202	60	236
203	60	235
204	60	235
205	61	235
206	61	234
207	61	234
208	61	234
209	62	233
210	62	233
211	62	232
212	62	232
213	63	232
214	63	232
215	63	231
216	64	231
217	64	231
218	64	231
219	65	231
220	65	230
221	65	230
222	66	230
223	66	230
224	66	229
225	67	229
226	67	229
227	67	228
228	67	228
229	68	228
230	68	227
231	68	227
232	68	226
233	69	226
234	69	226
235	69	226
236	70	225
237	70	225
238	70	225
239	71	224
240	71	224
241	71	224
242	71	224
243	72	223
244	72	223
245	72	223
246	73	223
247	73	222
248	73	222
249	73	221
250	74	221
251	74	221
252	74	220
253	74	220
254	75	219
255	75	219
256	75	219
257	76	218
258	76	218
259	76	218
260	77	218
261	77	217
262	77	217
263	77	217
264	78	216
265	78	216
266	78	215
267	78	215
268	79	215
269	79	215
270	79	214
271	80	214
272	80	214
273	80	214
274	81	213
275	81	213
276	81	212
277	81	212
278	82	212
279	82	212
280	82	211
281	83	211
282	83	211
283	83	210
284	83	210
285	84	210
286	84	209
287	84	209
288	85	209
289	85	209
290	85	208
291	85	208
292	86	208
293	86	207
294	86	207
295	87	207
296	87	206
297	87	206
298	87	206
299	88	205
300	88	205
301	88	205
302	89	204
303	89	204
304	89	204
305	89	203
306	90	203
307	90	203
308	91	203
309	91	203
310	91	203
311	92	202
312	92	202
313	92	202
314	92	201
315	93	201
316	93	201
317	93	201
318	93	200
319	94	200
320	94	199
321	94	199
322	95	199
323	95	198
324	95	198
325	95	198
326	96	197
327	96	197
328	96	197
329	96	196
330	97	196
331	97	196
332	97	195
333	98	195
334	98	195
335	98	195
336	99	194
337	99	194
338	99	194
339	99	193
340	100	193
341	100	192
342	100	192
343	100	192
344	101	191
345	101	191
346	101	191
347	102	191
348	102	191
349	102	190
350	103	190
351	103	190
352	103	189
353	103	189
354	104	189
355	104	188
356	104	188
357	104	188
358	105	187
359	105	187
360	105	187
361	106	186
362	106	186
363	106	186
364	106	186
365	107	185
366	107	185
367	107	185
368	108	184
369	108	184
370	108	184
371	109	184
372	109	183
373	109	183
374	109	183
375	110	182
376	110	182
377	110	182
378	111	181
379	111	181
380	111	181
381	111	180
382	112	180
383	112	180
384	112	180
385	113	179
386	113	179
387	113	179
388	113	178
389	114	178
390	114	178
391	114	178
392	115	178
393	115	177
394	115	177
395	116	177
396	116	177
397	116	176
398	117	176
399	117	176
400	117	175
401	118	175
402	118	175
403	118	175
404	118	174
405	119	174
406	119	174
407	119	173
408	120	173
409	120	173
410	120	172
411	120	172
412	121	172
413	121	171
414	121	171
415	122	171
416	122	170
417	122	170
418	123	170
419	123	170
420	123	170
421	124	169
422	124	169
423	124	169
424	124	169
425	125	168
426	125	168
427	125	168
428	126	167
429	126	167
430	126	167
431	126	166
432	127	166
433	127	166
434	127	165
435	128	165
436	128	165
437	128	165
438	129	164
439	129	164
440	129	164
441	129	164
442	130	163
443	130	163
444	130	163
445	131	162
446	131	162
447	131	162
448	132	162
449	132	161
450	132	161
451	133	161
452	133	161
453	133	160
454	133	160
455	134	160
456	134	159
457	134	159
458	135	159
459	135	158
460	135	158
461	136	158
462	136	158
463	136	157
464	136	157
465	137	157
466	137	156
467	137	156
468	138	156
469	138	156
470	139	156
471	139	156
472	139	155
473	140	155
474	140	155
475	140	154
476	141	154
477	141	154
478	141	154
479	141	153
480	142	153
481	142	153
482	142	152
483	142	152
484	143	152
485	143	151
486	143	151
487	144	151
488	144	150
489	144	150
490	145	150
491	145	150
492	145	149
493	146	149
494	146	149
495	146	148
496	146	148
497	146	148
498	147	147
499	147	147
500	147	147
501	148	146
502	148	146
503	148	146
504	149	146
505	149	145
506	149	145
507	150	145
508	150	145
509	150	144
510	151	144
511	151	144
512	151	144
513	151	143
514	152	143
515	152	143
516	152	142
517	153	142
518	153	142
519	153	141
520	153	141
521	154	141
522	154	140
523	154	140
524	154	140
525	155	139
526	155	139
527	155	139
528	156	138
529	156	138
530	156	138
531	156	138
532	157	137
533	157	137
534	157	137
535	158	136
536	158	136
537	158	136
538	159	136
539	159	135
540	159	135
541	159	135
542	160	134
543	160	134
544	160	134
545	161	134
546	161	133
547	161	133
548	162	133
549	162	132
550	162	132
551	162	132
552	163	131
553	163	131
554	163	131
555	164	131
556	164	130
557	164	130
558	165	130
559	165	130
560	165	129
561	166	129
562	166	129
563	166	128
564	167	128
565	167	128
566	167	128
567	168	127
568	168	127
569	168	127
570	168	126
571	169	126
572	169	126
573	169	125
574	169	125
575	170	125
576	170	125
577	170	124
578	171	124
579	171	124
580	171	123
581	172	123
582	172	123
583	172	122
584	172	122
585	173	122
586	173	122
587	173	121
588	174	121
589	174	121
590	174	120
591	175	120
592	175	120
593	175	120
594	176	119
595	176	119
596	176	119
597	176	118
598	177	118
599	177	118
600	177	118
601	178	117
602	178	117
603	178	117
604	179	116
605	179	116
606	179	116
607	180	116
608	180	115
609	180	115
610	180	115
611	181	114
612	181	114
613	181	114
614	182	113
615	182	113
616	182	113
617	182	112
618	183	112
619	183	112
620	183	112
621	183	111
622	184	111
623	184	111
624	184	110
625	184	110
626	185	110
627	185	109
628	185	109
629	186	109
630	186	108
631	186	108
632	186	108
633	187	108
634	187	107
635	187	107
636	188	107
637	188	106
638	188	106
639	189	106
640	189	106
641	189	105
642	189	105
643	190	105
644	190	104
645	190	104
646	190	104
647	191	103
648	191	103
649	191	103
650	192	102
651	192	102
652	192	102
653	192	102
654	193	101
655	193	101
656	193	101
657	193	100
658	194	100
659	194	100
660	194	99
661	195	99
662	195	99
663	195	99
664	195	98
665	196	98
666	196	98
667	196	97
